,gene_name,gene_length,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7,patient_8,patient_9,patient_10
1921,C15orf57,3286,665.34,848.86,670.8,1473.13,1223.93,1568.49,2224.15,681.73,747.15,552.86
1922,C15orf58,1350,70.0,83.0,118.0,59.0,41.0,156.0,228.0,277.0,104.0,74.0
1923,C15orf59,1342,68.0,12.0,31.0,23.0,65.0,65.0,6.0,36.0,10.0,3.0
1924,C15orf5,1495,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
1925,C15orf60,923,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
1926,C15orf61,1294,455.0,211.0,208.0,164.0,349.0,282.0,485.0,331.0,181.0,308.0
1927,C15orf62,2487,17.0,40.0,14.0,132.0,120.0,69.0,71.0,25.0,91.0,79.0
1928,C15orf63,2461,3427.0,1623.09,1384.0,1063.0,4006.69,2755.0,3466.09,1038.0,1522.0,3134.0
1929,C16orf11,2216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1930,C16orf13,840,2776.0,1136.0,975.0,1039.0,1614.0,1469.0,1135.0,2312.0,1110.0,1232.0
1931,C16orf3,994,11.0,2.0,2.0,2.0,9.0,8.0,11.0,2.0,20.0,2.0
1932,C16orf42,1202,4304.78,1638.99,1949.99,1277.57,2553.99,3457.93,2144.93,3261.99,1731.96,1714.95
1933,C16orf45,2341,241.0,146.0,261.0,370.0,527.0,786.0,362.0,260.0,1273.0,315.0
1934,C16orf46,2224,58.0,79.0,56.0,30.0,114.0,136.0,68.0,40.0,122.0,113.0
1935,C16orf48,1988,972.0,836.0,222.0,302.0,551.0,739.0,344.0,369.0,910.0,630.0
1936,C16orf52,6671,423.0,633.0,567.0,862.0,1417.0,1808.0,982.0,595.0,4710.0,747.0
1937,C16orf53,3823,3555.97,1763.94,1120.85,1876.14,1784.22,2652.81,2126.58,2921.96,4228.0,1396.62
1938,C16orf54,2596,9.0,309.0,293.0,3008.0,22.0,548.0,913.0,9.0,192.0,140.0
1939,C16orf55,5547,395.0,324.0,151.0,139.0,434.0,336.0,202.0,249.0,704.0,285.0
1940,C16orf57,4194,2399.0,2734.0,2496.0,2059.0,2588.0,4779.0,3666.0,1791.0,3549.0,2418.0
1941,C16orf58,5553,8871.81,5319.0,4468.0,3905.95,7370.0,9667.83,9540.0,8548.0,4042.0,5452.0
1942,C16orf59,2262,979.0,476.0,188.0,47.0,397.0,367.0,427.0,981.0,553.0,499.0
1943,C16orf5,3076,2322.0,1995.0,1604.0,1405.0,2429.0,6684.0,2624.0,12745.0,1639.0,2377.0
1944,C16orf61,838,3061.53,1643.15,2284.97,672.77,1770.1,3130.62,2183.4,703.04,1316.61,1500.6
1945,C16orf62,4293,4463.0,3718.0,2223.0,1513.0,3916.0,5691.0,3174.0,6150.0,4367.0,3786.0
1946,C16orf63,2250,667.0,1694.0,676.0,1233.0,2268.0,3792.0,2035.0,1697.0,2003.0,1755.0
1947,C16orf68,4977,459.0,355.0,302.0,292.0,431.0,483.0,422.0,759.0,537.0,265.0
1948,C16orf70,5104,1092.03,1073.48,790.78,667.41,1516.15,1864.88,1610.22,983.78,1565.79,1028.0
1949,C16orf71,2704,16.0,4.0,19.0,11.0,6.0,15.0,17.0,4.0,7.0,15.0
1950,C16orf72,3969,1307.0,2560.0,2468.0,1933.0,2867.0,4451.0,2841.0,1715.0,4270.0,2204.0
1951,C16orf73,2183,13.0,2.0,0.0,0.0,53.43,3.02,13.41,161.91,2.07,1.02
1952,C16orf74,895,162.0,450.0,49.0,158.0,144.0,38.0,78.0,857.0,7.0,186.0
1953,C16orf75,2183,1556.0,1592.0,732.0,345.0,766.0,678.0,871.0,773.0,900.0,601.0
1954,C16orf78,969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,C16orf79,1069,10.17,37.08,54.19,113.23,41.23,57.24,66.21,23.18,79.58,37.44
1956,C16orf7,3354,1186.45,446.16,1241.91,803.88,1248.26,1224.73,1461.29,264.79,1137.05,829.98
1957,C16orf80,1291,2181.0,2366.0,1117.0,973.0,1781.0,2570.0,1656.0,1547.0,2814.0,1212.0
1958,C16orf81,2243,58.0,0.0,4.0,31.0,1.0,5.0,7.0,0.0,3.0,0.0
1959,C16orf82,2268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,C16orf86,1789,172.0,111.0,151.0,163.0,394.0,272.0,220.0,58.0,184.0,302.0
1961,C16orf87,1383,89.0,485.0,209.0,265.0,468.0,507.0,306.0,252.0,530.0,267.0
1962,C16orf88,1948,1246.0,1420.0,725.0,370.0,907.0,1069.0,1274.0,2846.0,1297.0,777.0
1963,C16orf89,1871,120.0,3.0,2.0,67.0,0.0,14.0,27.0,30.0,6.0,7.0
1964,C16orf90,903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,C16orf91,1416,624.0,390.0,396.0,302.0,838.0,532.0,663.0,571.0,662.0,388.0
1966,C16orf92,895,1.56,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1967,C16orf93,2268,176.0,101.0,87.0,93.0,148.0,86.0,86.0,68.0,179.0,152.0
1968,C17orf100,1557,106.0,157.0,65.0,146.0,132.0,363.0,148.0,190.0,248.0,32.0
1969,C17orf101,1448,1154.0,1009.0,613.0,397.0,1090.0,961.0,1583.0,1410.0,978.95,720.89
1970,C17orf102,3997,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1971,C17orf103,4781,1164.0,2339.0,1033.0,650.0,1297.0,2199.0,819.0,1539.0,343.0,1024.0
1972,C17orf104,6292,7.0,37.0,19.0,16.0,49.0,65.0,15.0,119.0,49.0,38.0
1973,C17orf105,827,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
1974,C17orf106,994,1285.71,352.42,475.51,616.06,757.17,1466.46,632.01,605.85,616.01,515.33
1975,C17orf107,3173,76.13,33.99,33.91,41.29,26.27,32.54,25.75,30.85,34.78,210.97
1976,C17orf108,2543,589.0,287.0,233.0,779.0,804.0,1489.0,939.0,528.95,69.0,434.0
1977,C17orf28,3948,16.0,114.0,235.0,568.0,20.0,236.0,68.0,36.0,26.0,194.0
1978,C17orf37,752,2869.0,1405.0,2262.0,1294.0,1953.0,4383.0,2167.0,1545.0,847.0,1629.0
1979,C17orf39,4232,638.0,1419.0,404.0,586.0,1143.0,1322.0,817.0,1025.0,709.0,782.0
1980,C17orf42,2200,375.0,595.0,352.0,322.0,288.0,606.0,525.0,367.0,350.0,406.0
1981,C17orf44,2093,45.0,117.0,98.0,615.0,95.0,267.0,197.0,17.0,46.0,119.0
1982,C17orf46,1925,0.0,1.0,3.0,12.0,3.0,11.0,3.0,0.0,0.0,1.0
1983,C17orf47,2077,4.0,5.0,1.0,2.0,56.0,3.0,5.0,2.0,8.0,2.0
1984,C17orf48,1627,302.0,352.0,262.0,629.0,482.0,837.0,415.0,364.0,270.0,702.0
1985,C17orf49,2033,1929.9,2527.1,1607.61,3855.34,3693.22,5388.49,3474.47,5642.13,2449.72,2473.74
1986,C17orf50,1030,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
1987,C17orf51,8649,993.0,645.0,782.0,494.0,1409.0,1242.0,1162.0,799.0,805.0,82.0
1988,C17orf53,2673,464.0,374.0,255.0,75.0,317.0,601.0,378.0,934.0,313.0,618.0
1989,C17orf54,1785,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,C17orf55,2970,365.0,8.0,133.0,3.0,26.0,124.0,43.0,11.0,4.0,106.0
1991,C17orf56,4122,1072.81,1231.58,563.05,1867.02,1323.92,1370.59,1325.55,911.2,861.72,1217.23
1992,C17orf57,5076,27.0,106.51,31.0,171.0,67.0,56.84,154.0,110.0,124.64,80.0
1993,C17orf58,1563,521.0,440.0,397.0,182.0,789.0,1417.0,749.0,666.0,628.0,409.0
1994,C17orf59,1913,599.0,450.0,439.0,794.0,565.0,1139.0,697.0,472.0,452.0,800.0
1995,C17orf60,630,25.0,58.0,76.0,152.0,11.0,81.0,215.0,14.0,73.0,31.0
1996,C17orf61,445,2787.32,466.0,480.71,1064.42,563.77,1073.2,728.01,565.23,559.34,1106.87
1997,C17orf62,4209,2858.0,2787.0,2379.0,5024.0,2779.0,6665.0,5292.0,3283.0,2734.0,3497.0
1998,C17orf63,4424,3266.0,3108.0,3367.0,893.0,1722.0,3764.0,3349.0,4455.0,1315.0,2505.0
1999,C17orf64,959,3.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
2000,C17orf65,2243,440.15,416.78,198.0,667.72,211.84,796.71,411.9,451.91,177.72,258.85
2001,C17orf66,2190,0.0,0.0,1.0,13.0,1.0,1.0,23.0,0.0,3.0,6.0
2002,C17orf67,2011,31.0,13.0,32.0,146.0,45.0,101.0,50.0,43.0,16.0,81.0
2003,C17orf68,7071,771.0,854.0,908.0,4283.0,577.0,3061.0,1616.0,622.0,858.0,1216.0
2004,C17orf69,2789,175.0,130.0,40.0,143.0,2.0,111.0,124.0,0.0,86.0,3.0
2005,C17orf70,4666,3306.0,2544.0,1340.0,1707.0,2324.0,4938.0,2328.0,4615.0,2428.0,1780.0
2006,C17orf71,3265,611.0,1704.0,1300.0,749.0,1422.0,3733.0,1701.0,2049.0,1385.0,1278.0
2007,C17orf72,3105,8.89,61.47,11.85,167.41,6.59,61.97,28.71,33.28,21.33,40.13
2008,C17orf73,1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,C17orf74,1647,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,C17orf75,1612,476.0,543.0,842.0,469.0,387.0,1234.0,807.0,446.0,341.0,443.0
2011,C17orf76,3271,600.0,42.0,1158.0,368.0,622.0,1617.0,388.0,30.0,49.0,1260.0
2012,C17orf77,2525,1160.0,0.0,174.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0
2013,C17orf78,1860,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0
2014,C17orf79,1083,4786.0,1422.0,1682.0,556.0,1951.0,3450.0,2051.0,1710.0,1209.0,1687.0
2015,C17orf80,4069,629.0,2266.0,1142.0,1141.0,1096.0,3204.0,1652.0,1479.0,1394.0,985.0
2016,C17orf81,2399,2246.0,1728.0,1231.0,1336.0,1777.0,3178.0,1824.0,2846.0,1391.0,1593.0
2017,C17orf82,1530,53.0,15.0,16.0,0.0,31.0,0.0,12.0,15.0,23.0,6.0
2018,C17orf85,4913,850.0,2504.0,937.0,1020.0,1791.0,2399.0,1196.0,2473.0,2121.0,1350.0
2019,C17orf86,2168,300.0,382.0,172.0,511.0,455.0,316.0,480.0,369.0,231.0,184.0
2020,C17orf87,2491,3.0,267.0,118.0,567.63,6.0,116.99,516.0,8.0,31.0,101.0
2021,C17orf88,780,2.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,7.0
2022,C17orf89,566,2408.0,776.0,695.0,486.0,649.0,886.0,610.0,976.0,359.0,411.0
2023,C17orf90,1559,1982.0,850.0,772.0,1350.0,1087.0,1823.0,1002.0,850.0,889.0,700.0
2024,C17orf91,1367,96.0,136.0,266.0,243.0,451.0,619.0,175.0,44.0,211.0,67.0
2025,C17orf93,564,40.0,106.0,1.0,0.0,0.0,0.0,0.0,52.0,2.0,0.0
2026,C17orf95,1162,2172.0,1070.0,1357.0,1231.0,1514.0,2289.0,1828.0,739.0,579.0,860.0
2027,C17orf96,3227,139.0,163.0,139.0,448.0,314.0,478.0,763.0,395.0,315.0,398.0
2028,C17orf97,2467,167.0,100.0,66.0,31.0,109.0,449.0,319.0,199.0,127.0,85.0
2029,C17orf98,566,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
2030,C17orf99,2656,0.0,0.0,0.0,32.0,0.0,4.0,1.0,0.0,0.0,1.0
2031,C18orf10,3067,3428.0,3387.0,2087.0,1540.0,3428.0,7288.0,2972.0,4481.0,4140.0,3834.0
2032,C18orf16,4417,0.0,13.0,0.0,9.0,0.0,1.0,0.0,45.0,0.0,0.0
2033,C18orf18,1305,169.0,96.0,106.0,125.0,223.0,335.0,122.0,23.0,144.0,97.0
2034,C18orf19,4508,1213.0,1829.0,2072.0,330.0,816.0,4669.0,1986.0,2008.0,1335.0,4261.0
2035,C18orf1,10044,48.0,551.0,284.0,1648.0,682.0,1375.0,715.0,2198.0,369.0,736.0
2036,C18orf20,914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2037,C18orf21,1117,667.0,1077.0,597.0,620.0,325.0,952.0,565.0,680.0,593.0,927.0
2038,C18orf22,2965,2002.0,1163.0,685.95,528.0,1131.0,1444.0,776.0,1401.0,1084.0,773.0
2039,C18orf25,5464,1336.0,1899.0,1491.0,1513.0,1666.0,3592.0,1414.0,1177.0,2165.0,3088.0
2040,C18orf26,2137,0.0,0.0,0.0,0.0,6.0,0.0,0.0,26.0,0.0,0.0
2041,C18orf2,3440,33.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,530.0
2042,C18orf32,1661,2781.0,2551.74,3213.45,1701.55,1803.2,3949.36,1938.41,963.75,1632.67,1864.83
2043,C18orf34,3761,3.0,2.0,2.0,13.0,0.0,1.0,0.0,0.0,2.0,3.0
2044,C18orf45,3795,347.0,358.0,287.0,164.0,461.0,737.0,238.0,923.0,994.0,280.0
2045,C18orf54,5505,227.0,552.0,265.0,226.0,170.0,670.0,155.0,502.0,1675.0,331.0
2046,C18orf55,1534,1134.0,1541.0,863.0,545.0,901.0,1427.0,747.0,1498.0,1655.0,719.0
2047,C18orf56,843,198.11,154.03,43.0,4.0,210.0,23.0,19.0,93.02,32.03,107.0
2048,C18orf62,3544,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2049,C18orf8,2188,1133.31,1167.37,1348.21,1423.86,919.04,2840.12,1434.83,679.0,1280.32,1759.81
2050,C19orf10,1042,4841.0,3122.0,3208.0,2232.0,3564.0,5037.0,4442.0,3142.0,4435.0,3490.0
2051,C19orf12,4831,2691.0,1539.0,4934.0,1317.0,3082.0,4989.0,3397.0,1425.0,1200.0,2133.0
2052,C19orf18,913,1.0,26.0,2.0,13.0,30.0,1.0,1.0,3.0,16.0,1.0
2053,C19orf20,1113,161.0,156.0,72.0,57.0,197.0,485.0,67.0,168.0,173.0,502.0
2054,C19orf21,2851,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,1.0
2055,C19orf22,1809,3169.0,3408.0,1858.0,4642.0,3267.0,6492.0,2632.0,4756.0,3085.0,3501.0
2056,C19orf23,1355,85.0,27.0,73.0,54.0,69.0,73.0,76.0,99.0,91.0,13.0
2057,C19orf24,977,4689.0,982.0,1504.0,1037.0,2403.0,3531.0,2049.0,2934.0,1651.0,1720.0
2058,C19orf25,2907,2089.0,729.0,763.0,1204.0,605.0,1029.0,1104.0,2162.0,746.0,1273.0
2059,C19orf26,2564,239.0,182.0,101.0,5.0,204.0,327.0,138.0,295.0,1063.0,212.0
2060,C19orf28,4103,71702.0,11980.0,48591.0,2114.0,43177.0,47665.0,24155.0,12919.0,3720.0,42265.87
2061,C19orf29,3858,1337.0,1563.0,571.0,1009.0,1467.0,1851.0,1008.0,3495.0,1690.0,1308.0
2062,C19orf2,2413,1545.0,4245.0,2146.0,2621.0,3315.0,6342.0,3531.0,3753.0,3431.0,2391.0
2063,C19orf30,959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2064,C19orf33,520,2.1,0.88,0.17,10.33,76.85,3.0,0.0,22.56,2.0,0.0
2065,C19orf34,1254,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0
2066,C19orf35,2570,5.0,24.0,19.0,36.0,5.0,36.0,74.0,4.0,10.0,12.0
2067,C19orf36,1747,27.0,6.0,13.0,180.0,13.0,24.0,35.0,7.0,51.0,26.0
2068,C19orf38,1089,19.0,134.0,66.0,288.0,20.0,122.0,255.0,76.0,36.0,113.0
2069,C19orf39,1662,180.0,208.0,102.0,174.0,200.0,314.0,148.0,542.0,115.0,116.0
2070,C19orf40,1133,142.0,96.0,116.0,71.0,199.0,200.0,226.0,340.0,221.0,184.0
2071,C19orf41,814,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0
2072,C19orf42,2333,3274.0,2012.0,1466.0,1915.0,2386.0,4788.0,2344.0,2676.0,1691.0,2378.0
2073,C19orf43,909,8487.0,3511.0,3335.0,5339.0,3398.0,5264.0,4012.0,6072.0,3589.0,6184.0
2074,C19orf44,4720,445.34,468.99,217.23,197.95,363.67,551.01,258.47,1026.56,714.54,500.35
2075,C19orf45,2214,3.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0
2076,C19orf46,1615,1.0,0.0,2.0,21.0,2.0,2.0,6.0,6.0,8.0,26.0
2077,C19orf47,2324,1236.0,699.0,531.0,464.0,747.0,1272.0,638.0,1898.0,900.0,821.0
2078,C19orf48,1989,5028.0,2984.0,1058.0,1266.0,1687.0,1617.0,1374.0,4590.0,3338.0,3435.0
2079,C19orf50,3369,4119.0,3572.0,2334.0,2738.0,4281.0,5588.0,3449.0,4417.0,3395.0,3189.0
2080,C19orf51,2549,93.0,2.0,54.0,12.0,41.0,116.0,10.0,7.0,39.0,34.0
2081,C19orf52,1397,1053.0,555.0,478.0,308.0,637.0,999.0,618.0,1042.0,547.0,679.0
2082,C19orf53,907,9400.0,2467.0,2133.0,3723.0,3054.0,4385.0,3821.0,4218.0,2225.0,3241.0
2083,C19orf54,2978,1017.0,1019.0,657.0,573.0,1009.0,1484.0,914.0,2379.0,1237.0,888.0
2084,C19orf55,2819,153.0,321.0,113.0,175.0,259.0,480.0,194.0,580.0,450.0,206.0
2085,C19orf56,861,7057.0,4435.99,2549.0,2797.98,4098.99,7234.98,3896.0,6071.99,3142.0,4707.0
2086,C19orf57,2868,193.0,227.0,67.0,36.0,207.0,255.0,355.0,185.0,1359.0,169.0
2087,C19orf59,1308,5.0,5.0,8.0,2.0,2.0,7.0,20.0,2.0,4.0,5.0
2088,C19orf60,2388,2362.0,400.0,623.0,1437.0,992.0,1834.0,730.0,670.0,716.0,1693.0
2089,C19orf61,3213,1817.0,1671.0,1408.0,1834.0,2082.0,2210.0,2224.0,2818.0,3568.0,1641.0
2090,C19orf62,2654,4058.0,2810.0,2798.0,2476.0,3103.0,5301.35,2748.0,3826.0,2939.0,2921.11
2091,C19orf63,2033,9240.94,7299.95,6216.97,3374.97,11216.96,17941.92,10217.89,9503.31,8023.72,8140.71
2092,C19orf66,3428,2250.02,998.99,1350.0,3051.29,2021.76,2850.3,3003.83,3429.76,1941.45,1910.41
2093,C19orf69,945,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
2094,C19orf6,2813,6650.0,4338.0,4660.0,6223.0,6364.0,7615.0,5563.0,6807.0,7443.0,7116.0
2095,C19orf70,2201,2267.0,1124.0,1849.0,1096.0,2002.0,2529.0,1397.0,2232.0,1207.0,1525.0
2096,C19orf71,670,95.0,88.0,118.0,53.0,277.0,382.0,184.0,39.0,38.0,200.0
2097,C19orf73,743,91.0,24.0,38.0,24.0,31.0,66.0,29.0,32.0,32.0,14.0
2098,C19orf75,2183,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
2099,C19orf76,2112,17.0,12.0,21.0,195.0,51.0,43.0,22.0,25.0,104.0,30.0
2100,C19orf77,908,34.0,3.0,1.0,12.0,0.0,1.0,30.0,85.0,2.0,20.0
2101,C1D,1283,341.0,431.0,348.0,509.0,613.0,792.0,780.0,429.0,777.0,579.0
2102,C1GALT1C1,1833,424.0,1214.0,755.0,642.0,1000.0,1617.0,1334.0,513.0,1143.0,807.0
2103,C1GALT1,2780,764.0,1378.0,1054.0,945.0,500.0,4869.0,1551.0,665.0,755.0,1274.0
2104,C1QA,1127,489.0,20073.0,17382.0,11273.0,1652.0,13323.0,72395.0,1314.0,6068.0,14210.0
2105,C1QBP,1163,9729.12,6601.43,2814.06,3044.76,5652.69,5842.9,3336.15,7293.74,4243.75,3585.53
2106,C1QB,1043,466.0,26847.0,22005.0,9060.0,1331.0,13941.0,89759.0,1300.0,7489.0,17184.0
2107,C1QC,1339,571.0,21392.0,13940.0,10897.0,1752.0,12333.0,60655.0,1872.0,5606.0,13014.0
2108,C1QL1,1499,75.0,30.0,49.0,1.0,54.0,226.0,39.0,87.0,659.0,15.0
2109,C1QL2,2049,0.0,0.0,0.0,18.0,0.0,1.0,1.0,0.0,0.0,0.0
2110,C1QL3,2493,1.0,41.0,15.0,3.0,3.0,8.0,34.0,16.0,46.0,6.0
2111,C1QL4,2065,326.0,1.0,53.0,0.0,18.0,150.0,200.0,36.0,8.0,3.0
2112,C1QTNF1,3664,4255.0,1327.0,1132.0,3571.0,1422.0,1626.0,2574.0,122.0,327.0,1108.0
2113,C1QTNF2,2385,9.0,10.0,10.0,15.0,57.0,49.0,15.0,36.0,6.0,25.0
2114,C1QTNF3,3896,42.0,7795.0,26.0,268.0,59.0,531.0,65.0,40.0,34657.0,62.0
2115,C1QTNF4,1414,47.0,66.0,0.0,5.0,2.0,9.0,9.0,208.0,5.0,18.0
2116,C1QTNF6,6856,657.0,4128.0,765.0,842.0,1057.0,3082.0,2568.0,3741.0,1180.0,1947.0
2117,C1QTNF7,4838,7.0,8.0,15.0,55.0,1.0,26.0,3.0,4.0,10.0,1.0
2118,C1QTNF8,3406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2119,C1QTNF9B,1583,4.14,1.0,3.5,4.22,5.73,19.36,4.32,3.58,8.16,2.38
2120,C1QTNF9,5692,0.0,1.0,0.0,18.0,14.6,9.36,1.0,1.0,1.0,1.98
2121,C1RL,3655,58.96,598.75,398.0,2290.7,319.98,857.81,2586.66,344.98,853.89,1593.78
2122,C1R,2338,842.0,3009.0,2575.0,10882.0,6080.0,7723.0,18477.0,198.0,4124.0,6605.0
2123,C1S,3483,1021.0,4232.0,4184.0,14488.0,5961.05,12143.0,37841.0,272.34,5628.0,6762.0
2124,C1orf100,577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2125,C1orf101,3768,24.0,28.0,14.0,19.0,35.0,22.0,28.0,67.0,46.0,9.0
2126,C1orf103,3480,569.0,949.0,794.0,1418.0,1456.0,2531.0,2109.0,1483.0,1883.0,1408.0
2127,C1orf104,2731,166.2,106.08,68.75,134.24,99.26,109.51,134.23,73.12,319.22,106.43
2128,C1orf105,979,1.0,1.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0
2129,C1orf106,4345,17.0,2043.0,38.0,41.0,119.0,23.0,84.0,184.0,709.0,255.0
2130,C1orf107,8498,1537.0,3935.0,1432.0,1010.0,1701.0,5392.0,2537.0,2849.0,2690.0,2151.0
2131,C1orf109,2817,528.0,856.0,669.0,698.0,1066.0,1259.0,1092.0,770.0,2770.0,728.0
2132,C1orf110,2301,0.0,1.0,3.0,1.0,0.0,7.0,11.0,1.0,0.0,0.0
2133,C1orf111,1173,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2134,C1orf112,5507,655.13,1373.01,573.43,189.19,528.19,1064.97,574.6,1126.98,1483.56,688.9
2135,C1orf113,3876,1779.25,108.71,217.01,115.64,760.79,3700.18,1183.6,1014.18,710.73,1944.29
2136,C1orf114,2577,15.0,62.0,134.0,5.0,5.0,7.0,14.0,135.0,55.0,3.0
2137,C1orf115,2972,3232.0,221.0,1434.0,2018.0,112.0,283.0,1710.0,232.0,33.0,302.0
2138,C1orf116,5502,91.0,93.0,11.0,2.0,110.0,31.0,23.0,197.0,8.0,11.0
2139,C1orf122,2231,1750.54,738.16,1708.0,386.0,1573.34,2322.28,1706.04,1738.45,1716.91,1422.99
2140,C1orf123,1153,1567.0,1337.0,1089.0,1539.0,1968.0,2434.0,1481.0,2571.0,1482.0,1658.0
2141,C1orf124,3837,301.0,1090.0,633.0,286.0,851.0,1744.0,786.0,725.0,1343.0,796.0
2142,C1orf125,5597,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0
2143,C1orf126,7099,63.34,99.6,123.46,29.45,33.45,72.62,224.17,33.76,68.21,82.32
2144,C1orf127,2347,23.0,70.0,22.0,13.0,7.0,24.0,40.0,14.0,9.0,5.0
2145,C1orf128,1620,2716.0,2389.0,1556.0,2422.0,3238.0,3752.0,4529.0,7394.0,4201.0,2710.0
2146,C1orf129,3697,3.0,1.0,3.0,0.0,6.0,2.0,3.0,6.0,3.0,0.0
2147,C1orf130,3953,3.0,3.0,4.0,10.0,0.0,4.0,0.0,2.0,504.0,11.0
2148,C1orf131,4857,307.0,1228.0,379.0,672.0,598.0,851.0,681.0,943.0,1392.0,618.0
2149,C1orf133,800,4.0,3.0,1.0,8.0,2.0,12.0,3.0,1.0,87.0,99.0
2150,C1orf135,2061,278.0,211.0,121.0,33.0,280.0,244.0,294.0,769.0,447.0,167.0
2151,C1orf141,2626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2152,C1orf144,3633,8659.0,10806.0,7464.0,6193.0,12958.0,19136.0,17317.0,14769.0,18918.0,8864.0
2153,C1orf146,869,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2154,C1orf14,2489,5.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,1.0
2155,C1orf150,3090,35.0,0.0,972.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0
2156,C1orf151,2668,5928.0,2384.0,3152.92,1893.81,3617.0,4293.96,3523.0,2118.0,2896.0,1818.0
2157,C1orf152,704,20.0,26.0,14.0,71.0,44.0,48.0,35.0,18.0,23.0,19.0
2158,C1orf156,1440,238.0,580.0,272.0,625.0,348.0,698.0,319.0,459.0,648.0,215.0
2159,C1orf157,1890,0.0,0.0,1.0,0.0,0.0,53.0,1.0,1.0,0.0,0.0
2160,C1orf158,1296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2161,C1orf159,3473,563.0,422.0,208.0,283.0,664.0,589.0,471.0,669.0,791.0,554.0
2162,C1orf161,3229,2.0,1.0,2.0,0.0,3.0,2.0,3.0,4.0,0.0,1.0
2163,C1orf162,916,59.0,1127.0,554.0,3926.0,153.0,637.0,1825.0,177.0,363.0,536.0
2164,C1orf163,1614,512.0,945.0,725.0,119.0,1026.0,1116.0,800.0,2139.0,1869.0,1069.0
2165,C1orf168,4259,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2166,C1orf170,3057,525.0,6.0,685.0,12.0,22.0,20.0,229.0,37.0,149.0,95.0
2167,C1orf172,1785,18.0,3.0,5.0,98.0,15.0,5.0,43.0,5.0,0.0,39.0
2168,C1orf173,7650,2.0,3.0,0.0,58.0,0.0,6.0,1.0,0.0,398.0,1.0
2169,C1orf174,2505,811.0,1157.0,624.0,1169.0,937.0,1320.0,1355.0,1117.0,1573.0,999.0
2170,C1orf175,7245,21.31,11.0,17.6,35.33,13.0,9.0,25.0,11.0,10.0,58.0
2171,C1orf177,1788,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0
2172,C1orf180,2932,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2173,C1orf182,812,38.0,9.0,3.0,1.0,4.0,4.0,4.0,6.0,9.0,6.0
2174,C1orf183,2369,168.0,77.0,90.0,45.0,78.0,115.0,119.0,141.0,1837.01,96.0
